[Branch 157 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 14
[Branch 158 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 159 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 160 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 14
[Branch 161 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 162 | Profundidade 8] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 163 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 164 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 165 | Profundidade 9] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 166 | Profundidade 7] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 167 | Profundidade 8] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 168 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 14
[Branch 169 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 170 | Profundidade 9] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 171 | Profundidade 4] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 172 | Profundidade 5] Job 0 - Op 2 | Máquina: 2 | Início: 5 | Fim: 7 | Makespan parcial: 9
